id,name,size,type,location,website,description,hr_contact
36,TerraTech Solutions,5001-10000,Startup,"Seattle, WA",https://datadiveanalytics.com,"NexaTech is a leading firm in the SME sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@insightfulanalytics.com
37,EvoTech Solutions,51-200,Multinational,"Austin, TX",https://datadriven.com,"DataDive Analytics is a leading firm in the SME sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@quantumleapanalytics.com
38,Pioneer Data Services,1001-5000,SME,"New York, NY",https://eagleeyedata.com,"Quantum Leap Analytics is a leading firm in the SME sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@eagleeyedata.com
39,NexaCore Tech,11-50,Startup,"Seattle, WA",https://neuralnetinnovations.com,"Pioneer Data Services is a leading firm in the SME sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datadriven.com
40,InfoFlow Solutions,1-10,Enterprise,"San Francisco, CA",https://terratechsolutions.com,"NeuralNet Innovations is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@optimainsights.com
41,TechBridges,10001+,Startup,"Seattle, WA",https://insightfulanalytics.com,"NexaCore Tech is a leading firm in the Enterprise sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@quanttechlabs.com
42,AlphaTech Ventures,5001-10000,Multinational,"Boston, MA",https://alphatechventures.com,"NexaTech is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
43,AlphaTech Ventures,501-1000,SME,"New York, NY",https://nimbustech.com,"NexaCore Tech is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@nimbustech.com
44,Nimbus Tech,201-500,Startup,"Boston, MA",https://datadiveanalytics.com,"DataDriven is a leading firm in the SME sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
45,EvoTech Solutions,1001-5000,Multinational,"Austin, TX",https://infoflowsolutions.com,"NexaTech is a leading firm in the SME sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@nexatech.com
46,NexaTech,5001-10000,Enterprise,"Seattle, WA",https://deeplearnsystems.com,"Nimbus Tech is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@techbridges.com
47,DataPulse Systems,5001-10000,SME,"New York, NY",https://evotechsolutions.com,"DataPulse Systems is a leading firm in the Startup sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@techbridges.com
48,Optima Insights,1001-5000,Startup,"Seattle, WA",https://datadriven.com,"Quantum Leap Analytics is a leading firm in the SME sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@optimainsights.com
49,DataSphere Analytics,5001-10000,Enterprise,"Boston, MA",https://evotechsolutions.com,"Insightful Analytics is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
50,NexaCore Tech,51-200,Multinational,"Boston, MA",https://deeplearnsystems.com,"DataDive Analytics is a leading firm in the Multinational sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@alphatechventures.com
51,DataDive Analytics,1001-5000,Multinational,"Austin, TX",https://optimainsights.com,"AlphaTech Ventures is a leading firm in the Startup sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@quanttechlabs.com
52,DataSphere Analytics,1-10,Multinational,"San Francisco, CA",https://eagleeyedata.com,"EvoTech Solutions is a leading firm in the Multinational sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@pioneerdataservices.com
53,DeepLearn Systems,501-1000,Enterprise,"San Francisco, CA",https://neuralnetinnovations.com,"DataSphere Analytics is a leading firm in the SME sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@nexacoretech.com
54,AlphaTech Ventures,11-50,Enterprise,"Austin, TX",https://infoflowsolutions.com,"InfoFlow Solutions is a leading firm in the SME sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
55,InfoFlow Solutions,201-500,Enterprise,"Austin, TX",https://datadriven.com,"TechBridges is a leading firm in the Multinational sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@datapulsesystems.com
56,NexaCore Tech,11-50,SME,"Austin, TX",https://alphatechventures.com,"DataSphere Analytics is a leading firm in the Startup sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
57,DataDive Analytics,501-1000,Multinational,"New York, NY",https://nimbustech.com,"Pioneer Data Services is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
58,TechBridges,1-10,Multinational,"New York, NY",https://quanttechlabs.com,"TerraTech Solutions is a leading firm in the Startup sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@optimainsights.com
59,DataDive Analytics,11-50,Multinational,"New York, NY",https://quantumleapanalytics.com,"EagleEye Data is a leading firm in the Multinational sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@pioneerdataservices.com
60,NeuralNet Innovations,1001-5000,Enterprise,"Boston, MA",https://datapulsesystems.com,"Optima Insights is a leading firm in the Multinational sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@techbridges.com
61,Pioneer Data Services,501-1000,Startup,"Austin, TX",https://quanttechlabs.com,"AlphaTech Ventures is a leading firm in the Startup sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@nimbustech.com
62,Optima Insights,1-10,SME,"San Francisco, CA",https://evotechsolutions.com,"NexaTech is a leading firm in the Startup sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
63,NexaTech,201-500,Startup,"Boston, MA",https://quanttechlabs.com,"DeepLearn Systems is a leading firm in the Multinational sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@deeplearnsystems.com
64,InfoFlow Solutions,10001+,Enterprise,"Austin, TX",https://datadiveanalytics.com,"TechBridges is a leading firm in the Multinational sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@infoflowsolutions.com
65,DeepLearn Systems,5001-10000,Multinational,"Boston, MA",https://datapulsesystems.com,"Insightful Analytics is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
66,NeuralNet Innovations,1-10,Multinational,"San Francisco, CA",https://datadriven.com,"EvoTech Solutions is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
67,DataDive Analytics,11-50,Startup,"Seattle, WA",https://eagleeyedata.com,"DataSphere Analytics is a leading firm in the SME sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@nexatech.com
68,DataPulse Systems,5001-10000,Enterprise,"New York, NY",https://techbridges.com,"Optima Insights is a leading firm in the SME sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@infoflowsolutions.com
69,QuantTech Labs,5001-10000,SME,"Boston, MA",https://quanttechlabs.com,"EagleEye Data is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@nexacoretech.com
70,NexaTech,1001-5000,Enterprise,"San Francisco, CA",https://datapulsesystems.com,"TechBridges is a leading firm in the Startup sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@insightfulanalytics.com
71,Optima Insights,51-200,SME,"Austin, TX",https://eagleeyedata.com,"DataPulse Systems is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@evotechsolutions.com
72,Optima Insights,11-50,Startup,"Boston, MA",https://optimainsights.com,"EvoTech Solutions is a leading firm in the SME sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
73,EagleEye Data,201-500,Multinational,"Seattle, WA",https://datadriven.com,"NexaCore Tech is a leading firm in the SME sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@techbridges.com
74,Nimbus Tech,1001-5000,Enterprise,"Austin, TX",https://optimainsights.com,"TechBridges is a leading firm in the Multinational sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@quantumleapanalytics.com
75,DataSphere Analytics,501-1000,Startup,"Seattle, WA",https://datadiveanalytics.com,"DeepLearn Systems is a leading firm in the Startup sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datadriven.com
76,TechBridges,201-500,Enterprise,"New York, NY",https://pioneerdataservices.com,"EvoTech Solutions is a leading firm in the Startup sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@insightfulanalytics.com
77,NexaCore Tech,201-500,Enterprise,"New York, NY",https://nimbustech.com,"DataSphere Analytics is a leading firm in the Startup sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@optimainsights.com
78,Pioneer Data Services,1-10,Startup,"Boston, MA",https://nimbustech.com,"Quantum Leap Analytics is a leading firm in the SME sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
79,DataPulse Systems,51-200,SME,"Seattle, WA",https://insightfulanalytics.com,"Quantum Leap Analytics is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
80,DataPulse Systems,5001-10000,Enterprise,"New York, NY",https://nexacoretech.com,"Insightful Analytics is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@nimbustech.com
81,QuantTech Labs,11-50,Startup,"Boston, MA",https://alphatechventures.com,"InfoFlow Solutions is a leading firm in the Multinational sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@techbridges.com
82,EagleEye Data,10001+,SME,"Boston, MA",https://datadiveanalytics.com,"QuantTech Labs is a leading firm in the SME sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
83,NexaCore Tech,1001-5000,Multinational,"New York, NY",https://deeplearnsystems.com,"InfoFlow Solutions is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@pioneerdataservices.com
84,AlphaTech Ventures,201-500,Startup,"Austin, TX",https://alphatechventures.com,"NeuralNet Innovations is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@datapulsesystems.com
85,NeuralNet Innovations,501-1000,SME,"San Francisco, CA",https://optimainsights.com,"NeuralNet Innovations is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@nimbustech.com
86,Nimbus Tech,5001-10000,Enterprise,"Boston, MA",https://quanttechlabs.com,"DataDive Analytics is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@datapulsesystems.com
87,DataDive Analytics,201-500,SME,"New York, NY",https://nexacoretech.com,"DataDriven is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@evotechsolutions.com
88,Pioneer Data Services,1001-5000,Enterprise,"San Francisco, CA",https://nexacoretech.com,"DataPulse Systems is a leading firm in the SME sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@nimbustech.com
89,NexaTech,1001-5000,Enterprise,"Boston, MA",https://nimbustech.com,"NeuralNet Innovations is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@alphatechventures.com
90,Quantum Leap Analytics,5001-10000,Enterprise,"Boston, MA",https://nexatech.com,"Quantum Leap Analytics is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
91,NexaCore Tech,11-50,Multinational,"Seattle, WA",https://quantumleapanalytics.com,"DeepLearn Systems is a leading firm in the Enterprise sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@eagleeyedata.com
92,QuantTech Labs,1001-5000,SME,"Austin, TX",https://deeplearnsystems.com,"Optima Insights is a leading firm in the Startup sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@nexacoretech.com
93,QuantTech Labs,10001+,Multinational,"San Francisco, CA",https://quanttechlabs.com,"TechBridges is a leading firm in the Multinational sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
94,InfoFlow Solutions,10001+,Startup,"Austin, TX",https://alphatechventures.com,"EvoTech Solutions is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@deeplearnsystems.com
95,EvoTech Solutions,501-1000,Enterprise,"San Francisco, CA",https://pioneerdataservices.com,"InfoFlow Solutions is a leading firm in the Startup sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@techbridges.com
96,TechBridges,1-10,Enterprise,"Seattle, WA",https://quanttechlabs.com,"DataDive Analytics is a leading firm in the Enterprise sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@alphatechventures.com
97,DeepLearn Systems,501-1000,Multinational,"San Francisco, CA",https://deeplearnsystems.com,"NeuralNet Innovations is a leading firm in the SME sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@pioneerdataservices.com
98,NeuralNet Innovations,10001+,Enterprise,"San Francisco, CA",https://nexacoretech.com,"Optima Insights is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@infoflowsolutions.com
99,NexaTech,11-50,Enterprise,"Boston, MA",https://insightfulanalytics.com,"DataDriven is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@insightfulanalytics.com
100,EvoTech Solutions,51-200,SME,"Austin, TX",https://techbridges.com,"EvoTech Solutions is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@pioneerdataservices.com
